,match_id,game,blue_team,red_team,result,GEN,T1,DRX,DK,HLE,KT,LSB,NS,KDF,BRION
161,162,game_1,HLE,DK,DK,0.66,0.79,0.26,0.7,0.61,0.56,0.54,0.17,0.32,0.36
162,163,game_2,HLE,DK,DK,0.66,0.79,0.26,0.71,0.59,0.56,0.54,0.17,0.32,0.36
163,164,game_1,NS,DRX,DRX,0.66,0.79,0.28,0.71,0.59,0.56,0.54,0.16,0.32,0.36
164,165,game_2,NS,DRX,NS,0.66,0.79,0.27,0.71,0.59,0.56,0.54,0.19,0.32,0.36
165,166,game_3,DRX,NS,DRX,0.66,0.79,0.29,0.71,0.59,0.56,0.54,0.18,0.32,0.36
166,167,game_1,LSB,KT,KT,0.66,0.79,0.29,0.71,0.59,0.58,0.53,0.18,0.32,0.36
167,168,game_2,LSB,KT,KT,0.66,0.79,0.29,0.71,0.59,0.59,0.51,0.18,0.32,0.36
168,169,game_1,BRION,GEN,GEN,0.67,0.79,0.29,0.71,0.59,0.59,0.51,0.18,0.32,0.35
169,170,game_2,GEN,BRION,GEN,0.68,0.79,0.29,0.71,0.59,0.59,0.51,0.18,0.32,0.34
170,171,game_1,KDF,NS,KDF,0.68,0.79,0.29,0.71,0.59,0.59,0.51,0.18,0.34,0.34
171,172,game_2,NS,KDF,NS,0.68,0.79,0.29,0.71,0.59,0.59,0.51,0.2,0.33,0.34
172,173,game_3,KDF,NS,KDF,0.68,0.79,0.29,0.71,0.59,0.59,0.51,0.19,0.35,0.34
173,174,game_1,KT,HLE,KT,0.68,0.79,0.29,0.71,0.57,0.6,0.51,0.19,0.35,0.34
174,175,game_2,HLE,KT,HLE,0.68,0.79,0.29,0.71,0.58,0.58,0.51,0.19,0.35,0.34
175,176,game_3,KT,HLE,KT,0.68,0.79,0.29,0.71,0.57,0.59,0.51,0.19,0.35,0.34
176,177,game_1,GEN,LSB,GEN,0.69,0.79,0.29,0.71,0.57,0.59,0.5,0.19,0.35,0.34
177,178,game_2,LSB,GEN,GEN,0.69,0.79,0.29,0.71,0.57,0.59,0.49,0.19,0.35,0.34
178,179,game_1,T1,DRX,T1,0.69,0.8,0.29,0.71,0.57,0.59,0.49,0.19,0.35,0.34
179,180,game_2,DRX,T1,T1,0.69,0.81,0.28,0.71,0.57,0.59,0.49,0.19,0.35,0.34
180,181,game_1,DK,NS,DK,0.69,0.81,0.28,0.72,0.57,0.59,0.49,0.19,0.35,0.34
181,182,game_2,NS,DK,DK,0.69,0.81,0.28,0.73,0.57,0.59,0.49,0.18,0.35,0.34
182,183,game_1,BRION,KT,KT,0.69,0.81,0.28,0.73,0.57,0.61,0.49,0.18,0.35,0.33
183,184,game_2,BRION,KT,KT,0.69,0.81,0.28,0.73,0.57,0.62,0.49,0.18,0.35,0.32
184,185,game_1,LSB,DRX,DRX,0.69,0.81,0.3,0.73,0.57,0.62,0.47,0.18,0.35,0.32
185,186,game_2,DRX,LSB,LSB,0.69,0.81,0.29,0.73,0.57,0.62,0.49,0.18,0.35,0.32
186,187,game_3,DRX,LSB,LSB,0.69,0.81,0.28,0.73,0.57,0.62,0.5,0.18,0.35,0.32
187,188,game_1,T1,HLE,HLE,0.69,0.78,0.28,0.73,0.58,0.62,0.5,0.18,0.35,0.32
188,189,game_2,T1,HLE,T1,0.69,0.79,0.28,0.73,0.56,0.62,0.5,0.18,0.35,0.32
189,190,game_3,T1,HLE,T1,0.69,0.79,0.28,0.73,0.55,0.62,0.5,0.18,0.35,0.32
190,191,game_1,DK,BRION,BRION,0.69,0.79,0.28,0.71,0.55,0.62,0.5,0.18,0.35,0.34
191,192,game_2,DK,BRION,DK,0.69,0.79,0.28,0.71,0.55,0.62,0.5,0.18,0.35,0.33
192,193,game_3,BRION,DK,DK,0.69,0.79,0.28,0.72,0.55,0.62,0.5,0.18,0.35,0.33
193,194,game_1,GEN,KDF,GEN,0.7,0.79,0.28,0.72,0.55,0.62,0.5,0.18,0.34,0.33
194,195,game_2,KDF,GEN,KDF,0.68,0.79,0.28,0.72,0.55,0.62,0.5,0.18,0.36,0.33
195,196,game_3,GEN,KDF,KDF,0.67,0.79,0.28,0.72,0.55,0.62,0.5,0.18,0.38,0.33
196,197,game_1,KDF,DRX,KDF,0.67,0.79,0.28,0.72,0.55,0.62,0.5,0.18,0.39,0.33
