,gameid,split,blue_team,red_team,blue_wr,red_wr,result
138,ESPORTSTMNT02_3164423,Spring,T1,KT Rolster,0.7586206896551724,0.5714285714285714,1
139,ESPORTSTMNT02_3163473,Spring,Nongshim RedForce,Liiv SANDBOX,0.16,0.5517241379310345,1
140,ESPORTSTMNT02_3164479,Spring,Liiv SANDBOX,Nongshim RedForce,0.5333333333333333,0.19230769230769232,1
141,ESPORTSTMNT02_3163529,Spring,Nongshim RedForce,Liiv SANDBOX,0.18518518518518517,0.5483870967741935,0
142,ESPORTSTMNT02_3165696,Spring,BRION,DRX,0.39285714285714285,0.23076923076923078,1
143,ESPORTSTMNT02_3164832,Spring,DRX,BRION,0.2222222222222222,0.41379310344827586,1
144,ESPORTSTMNT02_3163849,Spring,BRION,DRX,0.4,0.25,0
145,ESPORTSTMNT02_3163865,Spring,Hanwha Life Esports,Kwangdong Freecs,0.5714285714285714,0.3333333333333333,1
146,ESPORTSTMNT02_3164896,Spring,Kwangdong Freecs,Hanwha Life Esports,0.32142857142857145,0.5862068965517241,0
147,ESPORTSTMNT03_3111569,Spring,Kwangdong Freecs,T1,0.3103448275862069,0.7666666666666667,0
148,ESPORTSTMNT03_3113604,Spring,Kwangdong Freecs,T1,0.3,0.7741935483870968,0
149,ESPORTSTMNT03_3111606,Spring,DRX,Dplus KIA,0.27586206896551724,0.6666666666666666,0
150,ESPORTSTMNT03_3111641,Spring,Dplus KIA,DRX,0.6785714285714286,0.26666666666666666,1
151,ESPORTSTMNT03_3112838,Spring,KT Rolster,Gen.G,0.5517241379310345,0.6896551724137931,1
152,ESPORTSTMNT03_3111908,Spring,Gen.G,KT Rolster,0.6666666666666666,0.5666666666666667,1
153,ESPORTSTMNT03_3113903,Spring,Gen.G,KT Rolster,0.6774193548387096,0.5483870967741935,0
154,ESPORTSTMNT03_3113908,Spring,Hanwha Life Esports,Nongshim RedForce,0.6,0.17857142857142858,1
155,ESPORTSTMNT03_3112906,Spring,Nongshim RedForce,Hanwha Life Esports,0.1724137931034483,0.6129032258064516,0
156,ESPORTSTMNT03_3115239,Spring,Liiv SANDBOX,Kwangdong Freecs,0.5625,0.2903225806451613,1
157,ESPORTSTMNT03_3116248,Spring,Kwangdong Freecs,Liiv SANDBOX,0.28125,0.5757575757575758,1
158,ESPORTSTMNT03_3116266,Spring,Liiv SANDBOX,Kwangdong Freecs,0.5588235294117647,0.30303030303030304,0
159,ESPORTSTMNT03_3116279,Spring,BRION,T1,0.3870967741935484,0.78125,0
160,ESPORTSTMNT03_3115330,Spring,T1,BRION,0.7878787878787878,0.375,1
161,ESPORTSTMNT03_3115657,Spring,Hanwha Life Esports,Dplus KIA,0.625,0.6896551724137931,0
162,ESPORTSTMNT03_3116666,Spring,Hanwha Life Esports,Dplus KIA,0.6060606060606061,0.7,0
163,ESPORTSTMNT03_3116676,Spring,Nongshim RedForce,DRX,0.16666666666666666,0.25806451612903225,0
164,ESPORTSTMNT03_3114711,Spring,Nongshim RedForce,DRX,0.16129032258064516,0.28125,1
165,ESPORTSTMNT03_3116711,Spring,DRX,Nongshim RedForce,0.2727272727272727,0.1875,1
166,ESPORTSTMNT03_3117109,Spring,Liiv SANDBOX,KT Rolster,0.5428571428571428,0.5625,0
167,ESPORTSTMNT03_3119106,Spring,Liiv SANDBOX,KT Rolster,0.5277777777777778,0.5757575757575758,0
168,ESPORTSTMNT03_3117150,Spring,BRION,Gen.G,0.36363636363636365,0.65625,0
169,ESPORTSTMNT03_3117167,Spring,Gen.G,BRION,0.6666666666666666,0.35294117647058826,1
170,ESPORTSTMNT03_3121502,Spring,Kwangdong Freecs,Nongshim RedForce,0.3235294117647059,0.18181818181818182,1
171,ESPORTSTMNT03_3122530,Spring,Nongshim RedForce,Kwangdong Freecs,0.17647058823529413,0.34285714285714286,1
172,ESPORTSTMNT03_3122536,Spring,Kwangdong Freecs,Nongshim RedForce,0.3333333333333333,0.2,1
173,ESPORTSTMNT03_3120564,Spring,KT Rolster,Hanwha Life Esports,0.5882352941176471,0.5882352941176471,1
174,ESPORTSTMNT03_3122584,Spring,Hanwha Life Esports,KT Rolster,0.5714285714285714,0.6,1
175,ESPORTSTMNT03_3120628,Spring,KT Rolster,Hanwha Life Esports,0.5833333333333334,0.5833333333333334,1
176,ESPORTSTMNT03_3123048,Spring,Gen.G,Liiv SANDBOX,0.6764705882352942,0.5135135135135135,1
177,ESPORTSTMNT03_3123081,Spring,Liiv SANDBOX,Gen.G,0.5,0.6857142857142857,0
178,ESPORTSTMNT03_3124078,Spring,T1,DRX,0.7941176470588235,0.29411764705882354,1
179,ESPORTSTMNT03_3125134,Spring,DRX,T1,0.2857142857142857,0.8,0
180,ESPORTSTMNT03_3124535,Spring,Dplus KIA,Nongshim RedForce,0.7096774193548387,0.19444444444444445,1
181,ESPORTSTMNT03_3125587,Spring,Nongshim RedForce,Dplus KIA,0.1891891891891892,0.71875,0
182,ESPORTSTMNT03_3125600,Spring,BRION,KT Rolster,0.34285714285714286,0.5945945945945946,0
183,ESPORTSTMNT03_3123651,Spring,BRION,KT Rolster,0.3333333333333333,0.6052631578947368,0
184,ESPORTSTMNT03_3127022,Spring,Liiv SANDBOX,DRX,0.48717948717948717,0.2777777777777778,0
185,ESPORTSTMNT03_3126034,Spring,DRX,Liiv SANDBOX,0.2972972972972973,0.475,0
186,ESPORTSTMNT03_3128016,Spring,DRX,Liiv SANDBOX,0.2894736842105263,0.4878048780487805,0
187,ESPORTSTMNT03_3128023,Spring,T1,Hanwha Life Esports,0.8055555555555556,0.5675675675675675,0
188,ESPORTSTMNT03_3126091,Spring,T1,Hanwha Life Esports,0.7837837837837838,0.5789473684210527,1
189,ESPORTSTMNT03_3128073,Spring,T1,Hanwha Life Esports,0.7894736842105263,0.5641025641025641,1
190,ESPORTSTMNT03_3127306,Spring,Dplus KIA,BRION,0.7272727272727273,0.32432432432432434,0
191,ESPORTSTMNT03_3128324,Spring,Dplus KIA,BRION,0.7058823529411765,0.34210526315789475,1
192,ESPORTSTMNT03_3127325,Spring,BRION,Dplus KIA,0.3333333333333333,0.7142857142857143,0
193,ESPORTSTMNT03_3128333,Spring,Gen.G,Kwangdong Freecs,0.6944444444444444,0.35135135135135137,1
194,ESPORTSTMNT03_3127378,Spring,Kwangdong Freecs,Gen.G,0.34210526315789475,0.7027027027027027,1
195,ESPORTSTMNT03_3127386,Spring,Gen.G,Kwangdong Freecs,0.6842105263157895,0.358974358974359,0
196,ESPORTSTMNT01_3325029,Spring,Kwangdong Freecs,DRX,0.375,0.28205128205128205,1
197,ESPORTSTMNT01_3326046,Spring,Kwangdong Freecs,DRX,0.3902439024390244,0.275,0
198,ESPORTSTMNT01_3325049,Spring,Kwangdong Freecs,DRX,0.38095238095238093,0.2926829268292683,1
199,ESPORTSTMNT01_3325060,Spring,Liiv SANDBOX,BRION,0.5,0.325,1
200,ESPORTSTMNT01_3326099,Spring,BRION,Liiv SANDBOX,0.3170731707317073,0.5116279069767442,0
201,ESPORTSTMNT01_3324334,Spring,Dplus KIA,T1,0.7222222222222222,0.7948717948717948,0
202,ESPORTSTMNT01_3325316,Spring,Dplus KIA,T1,0.7027027027027027,0.8,0
203,ESPORTSTMNT01_3324352,Spring,Hanwha Life Esports,Gen.G,0.55,0.6666666666666666,0
204,ESPORTSTMNT01_3325340,Spring,Hanwha Life Esports,Gen.G,0.5365853658536586,0.675,0
205,ESPORTSTMNT01_3324628,Spring,Kwangdong Freecs,KT Rolster,0.3953488372093023,0.6153846153846154,0
206,ESPORTSTMNT01_3324646,Spring,Kwangdong Freecs,KT Rolster,0.38636363636363635,0.625,0
207,ESPORTSTMNT01_3324649,Spring,BRION,Nongshim RedForce,0.30952380952380953,0.18421052631578946,0
208,ESPORTSTMNT01_3325624,Spring,BRION,Nongshim RedForce,0.3023255813953488,0.20512820512820512,0
209,ESPORTSTMNT01_3325832,Spring,Hanwha Life Esports,Liiv SANDBOX,0.5238095238095238,0.5227272727272727,1
210,ESPORTSTMNT01_3325855,Spring,Liiv SANDBOX,Hanwha Life Esports,0.5111111111111111,0.5348837209302325,1
211,ESPORTSTMNT01_3325862,Spring,Hanwha Life Esports,Liiv SANDBOX,0.5227272727272727,0.5217391304347826,1
212,ESPORTSTMNT01_3324928,Spring,Gen.G,Dplus KIA,0.6829268292682927,0.6842105263157895,1
213,ESPORTSTMNT01_3326924,Spring,Gen.G,Dplus KIA,0.6904761904761905,0.6666666666666666,1
