,match_id,gameid,game,blue_team,red_team,result,BRION,GEN,KDF,DK,HLE,KT,DRX,LSB,T1,NS
42,43,ESPORTSTMNT03_3092334,game_2,BRION,LSB,LSB,0.56,0.67,0.14,0.78,0.43,0.55,0.14,0.5,0.8,0.3
43,44,ESPORTSTMNT03_3094264,game_3,BRION,LSB,LSB,0.5,0.67,0.14,0.78,0.43,0.55,0.14,0.55,0.8,0.3
44,45,ESPORTSTMNT03_3093537,game_1,HLE,GEN,GEN,0.5,0.71,0.14,0.78,0.38,0.55,0.14,0.55,0.8,0.3
45,46,ESPORTSTMNT03_3093557,game_2,GEN,HLE,HLE,0.5,0.62,0.14,0.78,0.44,0.55,0.14,0.55,0.8,0.3
46,47,ESPORTSTMNT03_3094541,game_3,GEN,HLE,GEN,0.5,0.67,0.14,0.78,0.4,0.55,0.14,0.55,0.8,0.3
47,48,ESPORTSTMNT03_3092604,game_1,KDF,DRX,DRX,0.5,0.67,0.12,0.78,0.4,0.55,0.25,0.55,0.8,0.3
48,49,ESPORTSTMNT03_3093593,game_2,KDF,DRX,DRX,0.5,0.67,0.11,0.78,0.4,0.55,0.33,0.55,0.8,0.3
49,50,ESPORTSTMNT03_3097664,game_1,LSB,NS,LSB,0.5,0.67,0.11,0.78,0.4,0.55,0.33,0.58,0.8,0.27
50,51,ESPORTSTMNT03_3096700,game_2,NS,LSB,LSB,0.5,0.67,0.11,0.78,0.4,0.55,0.33,0.62,0.8,0.25
51,52,ESPORTSTMNT03_3095781,game_1,GEN,DK,GEN,0.5,0.7,0.11,0.7,0.4,0.55,0.33,0.62,0.8,0.25
52,53,ESPORTSTMNT03_3096742,game_2,GEN,DK,GEN,0.5,0.73,0.11,0.64,0.4,0.55,0.33,0.62,0.8,0.25
53,54,ESPORTSTMNT03_3098196,game_1,DRX,BRION,BRION,0.55,0.73,0.11,0.64,0.4,0.55,0.3,0.62,0.8,0.25
54,55,ESPORTSTMNT03_3099119,game_2,BRION,DRX,DRX,0.5,0.73,0.11,0.64,0.4,0.55,0.36,0.62,0.8,0.25
55,56,ESPORTSTMNT03_3098225,game_3,DRX,BRION,BRION,0.54,0.73,0.11,0.64,0.4,0.55,0.33,0.62,0.8,0.25
56,57,ESPORTSTMNT03_3098229,game_1,HLE,T1,T1,0.54,0.73,0.11,0.64,0.36,0.55,0.33,0.62,0.82,0.25
57,58,ESPORTSTMNT03_3100173,game_2,T1,HLE,HLE,0.54,0.73,0.11,0.64,0.42,0.55,0.33,0.62,0.75,0.25
58,59,ESPORTSTMNT03_3098275,game_3,HLE,T1,HLE,0.54,0.73,0.11,0.64,0.46,0.55,0.33,0.62,0.69,0.25
59,60,ESPORTSTMNT03_3098573,game_1,KT,KDF,KDF,0.54,0.73,0.2,0.64,0.46,0.5,0.33,0.62,0.69,0.25
60,61,ESPORTSTMNT03_3099542,game_2,KDF,KT,KDF,0.54,0.73,0.27,0.64,0.46,0.46,0.33,0.62,0.69,0.25
61,62,ESPORTSTMNT03_3098646,game_1,GEN,LSB,LSB,0.54,0.67,0.27,0.64,0.46,0.46,0.33,0.64,0.69,0.25
62,63,ESPORTSTMNT03_3100615,game_2,GEN,LSB,GEN,0.54,0.69,0.27,0.64,0.46,0.46,0.33,0.6,0.69,0.25
63,64,ESPORTSTMNT03_3099594,game_3,GEN,LSB,GEN,0.54,0.71,0.27,0.64,0.46,0.46,0.33,0.56,0.69,0.25
64,65,ESPORTSTMNT03_3100826,game_1,HLE,DRX,DRX,0.54,0.71,0.27,0.64,0.43,0.46,0.38,0.56,0.69,0.25
65,66,ESPORTSTMNT03_3100863,game_2,DRX,HLE,HLE,0.54,0.71,0.27,0.64,0.47,0.46,0.36,0.56,0.69,0.25
66,67,ESPORTSTMNT03_3098932,game_3,HLE,DRX,HLE,0.54,0.71,0.27,0.64,0.5,0.46,0.33,0.56,0.69,0.25
67,68,ESPORTSTMNT03_3098936,game_1,T1,NS,T1,0.54,0.71,0.27,0.64,0.5,0.46,0.33,0.56,0.71,0.23
68,69,ESPORTSTMNT03_3098971,game_2,NS,T1,NS,0.54,0.71,0.27,0.64,0.5,0.46,0.33,0.56,0.67,0.29
69,70,ESPORTSTMNT03_3098980,game_3,T1,NS,T1,0.54,0.71,0.27,0.64,0.5,0.46,0.33,0.56,0.69,0.27
70,71,ESPORTSTMNT03_3099980,game_1,BRION,KT,KT,0.5,0.71,0.27,0.64,0.5,0.5,0.33,0.56,0.69,0.27
71,72,ESPORTSTMNT03_3099998,game_2,KT,BRION,KT,0.47,0.71,0.27,0.64,0.5,0.53,0.33,0.56,0.69,0.27
